西山街	[237, 2, 42, 0, 0, 215, 1, 39, 15, 0, 253, 0, 80, 7, 0, 238, 0, 36, 9, 0, 222, 3, 54, 9, 0, 198, 12, 60, 11, 5, 224, 1, 54, 6, 2]	2035
长兴街	[176, 66, 41, 0, 0, 160, 61, 47, 2, 0, 188, 63, 80, 9, 0, 174, 75, 35, 0, 0, 163, 64, 59, 2, 0, 149, 26, 55, 53, 3, 149, 36, 73, 30, 0]	2039
泉涌街	[117, 0, 26, 0, 0, 109, 0, 25, 0, 1, 131, 0, 36, 0, 3, 122, 0, 21, 0, 0, 116, 0, 28, 0, 0, 93, 0, 38, 0, 12, 103, 0, 36, 0, 5]	1022
中长东五街	[140, 3, 0, 0, 0, 130, 5, 0, 0, 0, 157, 12, 1, 0, 0, 136, 7, 0, 0, 0, 138, 5, 1, 0, 0, 130, 12, 1, 0, 0, 136, 8, 0, 0, 0]	1022
西部大通道	[250, 6, 24, 6, 0, 230, 21, 17, 2, 0, 310, 14, 15, 1, 0, 250, 19, 15, 1, 0, 254, 23, 11, 0, 0, 273, 10, 3, 0, 0, 287, 1, 0, 0, 0]	2043
广平街	[117, 0, 18, 0, 8, 93, 0, 25, 0, 17, 125, 0, 32, 0, 13, 107, 0, 27, 0, 9, 103, 0, 27, 0, 14, 86, 0, 27, 0, 30, 94, 0, 21, 0, 29]	1022
中长街	[198, 64, 20, 0, 0, 202, 44, 24, 0, 0, 230, 64, 46, 0, 0, 234, 34, 15, 0, 0, 222, 44, 21, 1, 0, 168, 40, 56, 22, 0, 168, 55, 61, 4, 0]	2037
万岁街	[0, 137, 6, 0, 0, 0, 128, 7, 0, 0, 0, 165, 5, 0, 0, 0, 136, 7, 0, 0, 0, 129, 15, 0, 0, 0, 131, 12, 0, 0, 0, 139, 5, 0, 0]	1022
白山路	[132, 9, 2, 0, 0, 121, 14, 0, 0, 0, 159, 11, 0, 0, 0, 132, 10, 1, 0, 0, 127, 16, 1, 0, 0, 128, 13, 2, 0, 0, 136, 8, 0, 0, 0]	1022
星河街	[141, 2, 0, 0, 0, 135, 0, 0, 0, 0, 167, 2, 1, 0, 0, 143, 0, 0, 0, 0, 143, 1, 0, 0, 0, 143, 0, 0, 0, 0, 143, 1, 0, 0, 0]	1022
沿河街	[127, 3, 13, 0, 0, 121, 3, 11, 0, 0, 158, 4, 8, 0, 0, 131, 2, 10, 0, 0, 129, 7, 8, 0, 0, 138, 3, 2, 0, 0, 144, 0, 0, 0, 0]	1022
会展路	[142, 1, 0, 0, 0, 134, 0, 1, 0, 0, 170, 0, 0, 0, 0, 142, 1, 0, 0, 0, 143, 1, 0, 0, 0, 143, 0, 0, 0, 0, 142, 2, 0, 0, 0]	1022
盖州街	[122, 10, 9, 2, 0, 110, 18, 5, 2, 0, 153, 15, 2, 0, 0, 122, 17, 3, 1, 0, 118, 20, 6, 0, 0, 111, 18, 6, 8, 0, 115, 19, 8, 2, 0]	1022
连山街	[2, 131, 8, 2, 0, 0, 131, 4, 0, 0, 2, 166, 2, 0, 0, 3, 132, 7, 1, 0, 0, 140, 2, 2, 0, 2, 140, 1, 0, 0, 1, 143, 0, 0, 0]	1022
宏业街	[120, 22, 1, 0, 0, 109, 18, 6, 2, 0, 153, 17, 0, 0, 0, 121, 20, 2, 0, 0, 127, 15, 2, 0, 0, 109, 29, 5, 0, 0, 125, 17, 2, 0, 0]	1022
富民路	[111, 7, 22, 3, 0, 102, 6, 25, 1, 1, 128, 5, 34, 3, 0, 110, 7, 23, 3, 0, 102, 12, 27, 3, 0, 111, 8, 18, 6, 0, 109, 7, 27, 1, 0]	1022
星雨街	[142, 1, 0, 0, 0, 135, 0, 0, 0, 0, 168, 0, 2, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0, 143, 0, 0, 0, 0, 143, 0, 1, 0, 0]	1022
新桥街	[245, 16, 15, 6, 0, 235, 21, 11, 3, 0, 304, 22, 7, 7, 0, 252, 13, 12, 6, 0, 253, 13, 12, 10, 0, 265, 13, 6, 2, 0, 253, 26, 9, 0, 0]	2037
锦霞街	[136, 5, 2, 0, 0, 127, 7, 1, 0, 0, 165, 5, 0, 0, 0, 141, 2, 0, 0, 0, 142, 2, 0, 0, 0, 139, 4, 0, 0, 0, 140, 4, 0, 0, 0]	1022
